,,,,,,,
I2C_MAP,,,,,,,
,,,,,,,
Address width,8,,,,,,
Data width,16,,,,,,
,,,,,,,
Register Name,Address,Field Name,Type,Bit Offset,Bit Width,Reset Value,Reset Sources
CHIPID,0x0,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,UNUSED_B11,RO,11,1,0x0,POR
,,UNUSED_B10,RO,10,1,0x0,POR
,,UNUSED_B9,RO,9,1,0x0,POR
,,UNUSED_B8,RO,8,1,0x0,POR
,,SILICON_ID,RO,4,4,X,X
,,METAL_ID,RO,0,4,X,X
CFG3_ACT,0x01,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,UNUSED_B11,RO,11,1,0x0,POR
,,UNUSED_B10,RO,10,1,0x0,POR
,,UNUSED_B9,RO,9,1,0x0,POR
,,UNUSED_B8,RO,8,1,0x0,POR
,,UNUSED_B7,RO,7,1,0x1,POR
,,CHG_ON,RW,6,1,0x0,POR
,,DCHG_ON,RW,5,1,0x0,POR
,,BAL5_ON,RW,4,1,0x0,POR
,,BAL4_ON,RW,3,1,0x0,POR
,,BAL3_ON,RW,2,1,0x0,POR
,,BAL2_ON,RW,1,1,0x0,POR
,,BAL1_ON,RW,0,1,0x0,POR
CFG1_FILTERS_CYCLES,0x02,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,T_MEAS_CYCLE,RW,7,5,0x0,POR
,,T_CUR_FILTER,RW,5,2,0x0,POR
,,T_SC_FILTER,RW,2,3,0x0,POR
,,TCELL_FILTER,RW,0,2,0x0,POR
DEV_ADDR,0x03,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,UNUSED_B11,RO,11,1,0x0,POR
,,UNUSED_B10,RO,10,1,0x0,POR
,,UNUSED_B9,RO,9,1,0x0,POR
,,UNUSED_B8,RO,8,1,0x0,POR
,,UNUSED_B7,RO,7,1,0x0,POR
,,DEV_ADDR_ID,RW,0,7,0x49,POR
CFG2_ENABLES,0x04,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,CRC_EN,RW,13,1,0x0,POR
,,CHG_HS_LS,RW,12,1,0x1,POR
,,DCHG_HS_LS,RW,11,1,0x1,POR
,,SC_EN,RW,10,1,0x0,POR
,,OVC_EN,RW,9,1,0x0,POR
,,CC_ACC_EN,RW,8,1,0x0,POR
,,CSA_EN,RW,7,1,0x0,POR
,,NTC_EN,RW,6,1,0x0,POR
,,VB_EN,RW,5,1,0x0,POR
,,VCELL_EN_5,RW,4,1,0x0,POR
,,VCELL_EN_4,RW,3,1,0x0,POR
,,VCELL_EN_3,RW,2,1,0x0,POR
,,VCELL_EN_2,RW,1,1,0x0,POR
,,VCELL_EN_1,RW,0,1,0x0,POR
CSA_GAIN_FACTOR,0x05,,,,,,
,,CSA_GAIN_FACTOR,RW,0,16,0x8000,POR
VCELL_OV_TH,0x06,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,NCELL_OV_CNT_TH,RW,8,4,0x0,POR
,,VCELL_OV_TH,RW,0,8,0x0,POR
VCELL_UV_TH,0x07,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,NCELL_UV_CNT_TH,RW,8,4,0x0,POR
,,VCELL_UV_TH,RW,0,8,0x0,POR
VCELL_SEVERE_DELTA_THRS,0x08,,,,,,
,,VCELL_SEVERE_UV_DELTA_TH,RW,8,8,0x0,POR
,,VCELL_SEVERE_OV_DELTA_TH,RW,0,8,0x0,POR
VCELL_BAL_UV_DELTA_TH,0x09,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
,,NCELL_BAL_UV_CNT_TH,RW,8,4,0x0,POR
,,VCELL_BAL_UV_DELTA_TH,RW,0,8,0x0,POR
VB_OV_TH,0x0A,,,,,,
,,UNUSED_B15,RO,15,1,0x0,POR
,,UNUSED_B14,RO,14,1,0x0,POR
,,UNUSED_B13,RO,13,1,0x0,POR
,,UNUSED_B12,RO,12,1,0x0,POR
